miRNA_ID,n_samples,n_disease,n_benign,accuracy,auc,mean_prob
hsa-mir-3938,1,0,1,0.0,,0.5099
hsa-mir-6734,1,1,0,0.0,,0.3708
hsa-mir-4512,1,0,1,1.0,,0.3805
hsa-mir-6744,1,0,1,1.0,,0.164
hsa-mir-3189,1,1,0,0.0,,0.184
hsa-mir-622,1,0,1,0.0,,0.5645
hsa-mir-4286,1,0,1,1.0,,0.4476
hsa-mir-6799,1,0,1,1.0,,0.369
hsa-mir-4322,1,0,1,1.0,,0.3942
hsa-mir-5090,1,0,1,1.0,,0.3973
hsa-mir-4787,1,0,1,1.0,,0.2793
hsa-mir-6852,1,0,1,1.0,,0.3885
hsa-mir-1261,1,0,1,0.0,,0.5752
hsa-mir-1302-4,1,0,1,1.0,,0.4668
hsa-mir-147b,1,1,0,0.0,,0.4005
hsa-mir-608,1,0,1,0.0,,0.6781
hsa-mir-4739,1,0,1,1.0,,0.3155
hsa-mir-7851,1,0,1,0.0,,0.6129
hsa-mir-9898,1,1,0,0.0,,0.4194
hsa-mir-1275,1,0,1,0.0,,0.8053
hsa-mir-365b,1,1,0,0.0,,0.3141
hsa-mir-3128,1,0,1,1.0,,0.2863
hsa-mir-548c,1,0,1,1.0,,0.2861
hsa-mir-3119-1,1,0,1,1.0,,0.38
hsa-mir-3148,1,0,1,1.0,,0.3776
hsa-mir-4308,1,0,1,1.0,,0.4848
hsa-mir-651,1,0,1,0.0,,0.884
hsa-mir-4433a,1,0,1,1.0,,0.3129
hsa-mir-6780b,1,1,0,1.0,,0.5149
hsa-mir-6722,1,0,1,0.0,,0.5763
hsa-mir-4529,1,0,1,1.0,,0.2083
hsa-mir-7157,1,0,1,1.0,,0.239
hsa-mir-8057,1,0,1,1.0,,0.1808
hsa-mir-1263,1,0,1,0.0,,0.8918
hsa-mir-875,1,1,0,0.0,,0.4891
hsa-mir-514a-2,1,1,0,1.0,,0.6106
hsa-mir-12114,1,1,0,0.0,,0.1593
hsa-mir-574,1,0,1,0.0,,0.6091
hsa-mir-9-3,1,1,0,1.0,,0.5067
hsa-mir-6784,1,0,1,1.0,,0.4527
hsa-mir-1255b-2,1,0,1,1.0,,0.3094
hsa-mir-6823,1,0,1,1.0,,0.2562
hsa-mir-548ae-2,1,0,1,1.0,,0.3158
hsa-mir-3182,1,0,1,0.0,,0.6294
hsa-mir-3132,1,1,0,0.0,,0.3721
hsa-mir-4439,1,0,1,1.0,,0.4455
hsa-mir-6815,1,0,1,1.0,,0.2296
hsa-mir-6720,1,0,1,1.0,,0.3665
hsa-mir-92b,1,0,1,1.0,,0.3702
hsa-mir-4634,1,0,1,0.0,,0.5162
hsa-mir-1227,1,0,1,1.0,,0.4495
hsa-mir-7151,1,0,1,1.0,,0.2431
hsa-mir-4327,1,0,1,1.0,,0.4016
hsa-mir-5703,1,0,1,1.0,,0.2029
hsa-mir-4324,1,0,1,1.0,,0.1689
hsa-mir-363,1,1,0,1.0,,0.5644
hsa-mir-4509-3,1,0,1,1.0,,0.4569
hsa-mir-4423,1,0,1,1.0,,0.437
hsa-mir-3152,1,0,1,1.0,,0.3711
hsa-mir-4329,1,0,1,1.0,,0.1999
hsa-mir-4536-2,1,1,0,0.0,,0.1848
hsa-mir-3686,1,0,1,1.0,,0.1656
hsa-mir-1225,1,1,0,0.0,,0.2881
hsa-mir-593,1,0,1,0.0,,0.6778
hsa-mir-5579,1,0,1,1.0,,0.3267
hsa-mir-627,1,0,1,0.0,,0.883
hsa-let-7g,1,1,0,0.0,,0.1717
hsa-mir-1244-2,1,1,0,1.0,,0.8735
hsa-mir-637,1,1,0,0.0,,0.4056
hsa-mir-892c,1,0,1,0.0,,0.7752
hsa-mir-4517,1,0,1,0.0,,0.5849
hsa-mir-5009,1,0,1,1.0,,0.4332
hsa-mir-1250,1,1,0,0.0,,0.3735
hsa-mir-3136,1,1,0,1.0,,0.6073
hsa-mir-4641,1,0,1,1.0,,0.1301
hsa-mir-27b,1,1,0,1.0,,0.8911
hsa-mir-3922,1,0,1,1.0,,0.3638
hsa-mir-3659,1,0,1,0.0,,0.8421
hsa-mir-642b,1,0,1,1.0,,0.3021
hsa-mir-3665,1,1,0,0.0,,0.4437
hsa-mir-4712,1,0,1,0.0,,0.5077
hsa-mir-10398,1,0,1,1.0,,0.0429
hsa-mir-5588,1,0,1,1.0,,0.3536
hsa-mir-6870,1,1,0,0.0,,0.1759
hsa-mir-6879,1,0,1,1.0,,0.1566
hsa-mir-375,1,1,0,0.0,,0.3099
hsa-mir-5705,1,0,1,0.0,,0.7344
hsa-let-7f-2,1,1,0,0.0,,0.4921
hsa-mir-3674,1,0,1,1.0,,0.3752
hsa-mir-3147,1,1,0,0.0,,0.3145
hsa-mir-4798,1,0,1,1.0,,0.4403
hsa-mir-548k,1,0,1,0.0,,0.5293
hsa-mir-5694,1,0,1,1.0,,0.4393
hsa-mir-4257,1,0,1,1.0,,0.1834
hsa-mir-4804,1,0,1,0.0,,0.704
hsa-mir-7703,1,1,0,0.0,,0.3192
hsa-mir-767,1,1,0,1.0,,0.8972
hsa-mir-3691,1,0,1,1.0,,0.429
hsa-mir-6774,1,0,1,1.0,,0.3253
hsa-mir-4789,1,0,1,1.0,,0.3926
hsa-mir-4772,1,1,0,0.0,,0.3096
hsa-mir-4704,1,0,1,0.0,,0.7042
hsa-mir-552,1,0,1,0.0,,0.6458
hsa-mir-1295a,1,1,0,1.0,,0.5227
